,latitude,longitude,brightness,scan,track,date,confidence,bright_t31,frp,daynight,type,datetime,temperature,humidity,rain,stat_lat,stat_long,time_difference,new_latitude,new_longitude,new_time_difference,new_date,final_date
3878,17.161558,104.370819,367,0.57,0.52,1361577600,0,302.73,20.32,0,0,23/2/2013 5:42,19.6,77.0,0.0,17.079248,104.3258816,20520,17.144667,104.39821,20854.057,1361598454.057,2013-02-23 05:47:34.056999936
3879,15.989758,102.007248,367,0.4,0.44,1459900800,0,305.42,8.81,0,0,6/4/2016 6:48,29.4,52.67,0.15483871,15.8731376,102.0161856,24480,15.936936,102.02703,26895.375,1459927695.375,2016-04-06 07:28:15.375000064
3880,19.500914,100.72316,367,0.61,0.71,1365292800,0,296.42,16.23,0,0,7/4/2013 7:18,20.1,97.0,0.15483871,19.367056,100.7008384,26280,19.351488,100.673744,26798.502,1365319598.502,2013-04-07 07:26:38.502000128
3881,17.057211,98.603477,367,0.65,0.73,1518220800,0,300.77,43.06,0,0,10/2/2018 7:30,28.0927112,74.8910155,0.15483871,16.9898688,98.5182784,27000,17.10864,98.5605,23880.908,1518244680.908,2018-02-10 06:38:00.908000000
3882,17.122574,102.541763,367,0.32,0.55,1549756800,0,292.67,4.41,1,0,10/2/2019 19:18,23.5,42.0,0.0,17.0200176,102.5912256,69480,17.043179,102.61746,29791.295,1549786591.295,2019-02-10 08:16:31.295000064
3883,17.096975,98.655067,367,0.32,0.55,1523836800,0,304.83,13.28,0,0,16/4/2018 7:12,28.0927112,74.8910155,0.15483871,16.9898688,98.5182784,25920,17.086777,98.58255,25934.314,1523862734.314,2018-04-16 07:12:14.313999872
3884,17.905025,97.899872,367,0.48,0.48,1364428800,0,311.89,23.03,0,0,28/3/2013 7:06,27.4,79.0,0.15483871,17.9631328,97.9316352,25560,18.006277,97.967514,25581.8,1364454381.8,2013-03-28 07:06:21.800000000
3885,16.282986,101.206024,367,0.56,0.43,1428278400,0,307.42,11.6,0,0,6/4/2015 6:12,28.9,60.0,0.0,16.441256,101.1490496,22320,16.40184,101.06795,23266.691,1428301666.691,2015-04-06 06:27:46.691000064
3886,19.715349,99.532173,367,0.33,0.55,1330646400,0,310.88,9.96,0,0,2/3/2012 5:54,28.0927112,74.8910155,0.15483871,19.6526176,99.5379136,21240,19.697575,99.497154,21423.469,1330667823.469,2012-03-02 05:57:03.469000192
3887,15.817577,100.419136,367,0.32,0.54,1394841600,0,297.31,4.51,0,0,15/3/2014 7:06,29.4,77.0,0.15483871,15.8984208,100.307744,25560,15.883968,100.368126,25491.969,1394867091.969,2014-03-15 07:04:51.969000192
3888,13.912556,102.168564,367,0.35,0.57,1400716800,0,294.68,9.25,0,0,22/5/2014 5:54,27.0,86.0,0.15483871,13.9076912,102.0939456,21240,13.918781,102.14621,22426.014,1400739226.014,2014-05-22 06:13:46.013999872
3889,19.783564,100.24305,367,0.7,0.75,1555113600,0,301.32,30.33,0,0,13/4/2019 7:24,24.5,74.0,0.0,19.8392496,100.1692416,26640,19.793701,100.22882,25932.074,1555139532.074,2019-04-13 07:12:12.073999872
3890,18.497587,100.681374,367,0.37,0.58,1365811200,0,300.79,7.81,0,0,13/4/2013 7:06,31.4,50.0,0.15483871,18.5536224,100.7147456,25560,18.55706,100.605034,25898.168,1365837098.168,2013-04-13 07:11:38.168000000
3891,16.169445,102.353645,367,0.4,0.44,1577145600,0,305.78,13.68,0,0,24/12/2019 6:00,20.9,81.3,0.0,16.1166976,102.231904,21600,16.13859,102.24053,22143.223,1577167743.223,2019-12-24 06:09:03.223000064
